"","country","year","cellphones"
"4277","Morocco","1980",0
"4278","Mozambique","1980",0
"4279","Myanmar","1980",0
"4280","Namibia","1980",0
"4281","Nauru","1980",0
"4282","Nepal","1980",0
"4283","Netherlands","1980",0
"4284","Netherlands Antilles","1980",0
"4285","New Caledonia","1980",0
"4286","New Zealand","1980",0
"4287","Ngorno-Karabakh","1980",0
"4288","Nicaragua","1980",0
"4289","Niger","1980",0
"4290","Nigeria","1980",0
"4291","Niue","1980",0
"4292","Norfolk Island","1980",0
"4293","Northern Cyprus","1980",0
"4294","Northern Mariana Islands","1980",0
"4295","Norway","1980",0
"4296","Oman","1980",0
"4297","Pakistan","1980",0
"4298","Palau","1980",0
"4299","Panama","1980",0
"4300","Papua New Guinea","1980",0
"4301","Paraguay","1980",0
"4302","Peru","1980",0
"4303","Philippines","1980",0
"4304","Pitcairn","1980",0
"4305","Poland","1980",0
"4306","Portugal","1980",0
"4307","Puerto Rico","1980",0
"4308","Qatar","1980",0
"4309","Reunion","1980",0
"4310","Romania","1980",0
"4311","Russia","1980",0
"4312","Rwanda","1980",0
"4313","St. Barthélemy","1980",0
"4314","St. Helena","1980",0
"4315","St. Kitts and Nevis","1980",0
"4316","St. Lucia","1980",0
"4317","St. Martin","1980",0
"4318","St. Vincent and the Grenadines","1980",0
"4319","St.-Pierre-et-Miquelon","1980",0
"4320","Samoa","1980",0
"4321","San Marino","1980",0
"4322","Sao Tome and Principe","1980",0
"4323","Saudi Arabia","1980",0
"4324","Senegal","1980",0
"4325","Serbia","1980",0
"4326","Serbia and Montenegro","1980",0
"4327","Serbia excluding Kosovo","1980",0
"4328","Seychelles","1980",0
"4329","Sierra Leone","1980",0
"4330","Singapore","1980",0
"4331","Slovak Republic","1980",0
"4332","Slovenia","1980",0
"4333","Solomon Islands","1980",0
"4334","Somalia","1980",0
"4335","Somaliland","1980",0
"4336","South Africa","1980",0
"4337","South Ossetia","1980",0
"4338","Spain","1980",0
"4339","Sri Lanka","1980",0
"4340","Sudan","1980",0
"4341","Suriname","1980",0
"4342","Svalbard","1980",0
"4343","Swaziland","1980",0
"4344","Sweden","1980",0
"4345","Switzerland","1980",0
"4346","Syria","1980",0
"4347","Taiwan","1980",0
"4348","Tajikistan","1980",0
"4349","Tanzania","1980",0
"4350","Thailand","1980",0
"4351","Timor-Leste","1980",0
"4352","Togo","1980",0
"4353","Tokelau","1980",0
"4354","Tonga","1980",0
"4355","Transnistria","1980",0
"4356","Trinidad and Tobago","1980",0
"4357","Tunisia","1980",0
"4358","Turkey","1980",0
"4359","Turkmenistan","1980",0
"4360","Turks and Caicos Islands","1980",0
"4361","Tuvalu","1980",0
"4362","Uganda","1980",0
"4363","Ukraine","1980",0
"4364","United Arab Emirates","1980",0
"4365","United Kingdom","1980",0
"4366","United States","1980",0
"4367","Uruguay","1980",0
"4368","USSR","1980",0
"4369","Uzbekistan","1980",0
"4370","Wallis et Futuna","1980",0
"4371","Vanuatu","1980",0
"4372","Venezuela","1980",0
"4373","West Bank and Gaza","1980",0
"4374","West Germany","1980",0
"4375","Western Sahara","1980",0
"4376","Vietnam","1980",0
"4377","Virgin Islands (U.S.)","1980",0
"4378","North Yemen (former)","1980",0
"4379","South Yemen (former)","1980",0
"4380","Yemen","1980",0
"4381","Yugoslavia","1980",0
"4382","Zambia","1980",0
"4383","Zimbabwe","1980",0
"4384","Åland","1980",0
"4385","South Sudan","1980",0
"4386","Christian","1980",0
"4387","Coastline","1980",0
"4388","Curaçao","1980",0
"4389","Sint Maarten (Dutch part)","1980",0
"4390","St. Martin (French part)","1980",0
"4391","Antarctica","1980",0
"4392","Virgin Islands, British","1980",0
"4393","Hawaiian Trade Zone","1980",0
"4394","U.S. Pacific Islands","1980",0
"4395","Wake Island","1980",0
"4396","Bonaire","1980",0
"4397","Sark","1980",0
"4398","Chinese Taipei","1980",0
"4399","Saint Eustatius","1980",0
"4400","Saba","1980",0
"4401","Abkhazia","1981",0
"4402","Afghanistan","1981",0
"4403","Akrotiri and Dhekelia","1981",0
"4404","Albania","1981",0
"4405","Algeria","1981",0
"4406","American Samoa","1981",0
"4407","Andorra","1981",0
"4408","Angola","1981",0
"4409","Anguilla","1981",0
"4410","Antigua and Barbuda","1981",0
"4411","Argentina","1981",0
"4412","Armenia","1981",0
"4413","Aruba","1981",0
"4414","Australia","1981",0
"4415","Austria","1981",0
"4416","Azerbaijan","1981",0
"4417","Bahamas","1981",0
"4418","Bahrain","1981",0
"4419","Bangladesh","1981",0
"4420","Barbados","1981",0
"4421","Belarus","1981",0
"4422","Belgium","1981",0
"4423","Belize","1981",0
"4424","Benin","1981",0
"4425","Bermuda","1981",0
"4426","Bhutan","1981",0
"4427","Bolivia","1981",0
"4428","Bosnia and Herzegovina","1981",0
"4429","Botswana","1981",0
"4430","Brazil","1981",0
"4431","British Virgin Islands","1981",0
"4432","Brunei","1981",0
"4433","Bulgaria","1981",0
"4434","Burkina Faso","1981",0
"4435","Burundi","1981",0
"4436","Cambodia","1981",0
"4437","Cameroon","1981",0
"4438","Canada","1981",0
"4439","Cape Verde","1981",0
"4440","Cayman Islands","1981",0
"4441","Central African Republic","1981",0
"4442","Chad","1981",0
"4443","Channel Islands","1981",0
"4444","Chile","1981",0
"4445","China","1981",0
"4446","Christmas Island","1981",0
"4447","Cocos Island","1981",0
"4448","Colombia","1981",0
"4449","Comoros","1981",0
"4450","Congo, Dem. Rep.","1981",0
"4451","Congo, Rep.","1981",0
"4452","Cook Is","1981",0
"4453","Costa Rica","1981",0
"4454","Cote d'Ivoire","1981",0
"4455","Croatia","1981",0
"4456","Cuba","1981",0
"4457","Cyprus","1981",0
"4458","Czech Republic","1981",0
"4459","Czechoslovakia","1981",0
"4460","Denmark","1981",0
